component	source_file	stored_file	sha256	provenance
log@0.4.34	LICENSE-MIT	files/6485b8ed310d3f0340bf1ad1f47645069ce4069dcc6bb46c7d5c6faf41de1fdb-LICENSE-MIT	6485b8ed310d3f0340bf1ad1f47645069ce4069dcc6bb46c7d5c6faf41de1fdb	Exact crate/package file or exact upstream commit evidence
memchr@2.8.3	COPYING	files/01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f-COPYING	01c266bced4a434da0051174d6bee16a4c82cf634e2679b6155d40d75012390f	Exact crate/package file or exact upstream commit evidence
memchr@2.8.3	LICENSE-MIT	files/0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f-LICENSE-MIT	0f96a83840e146e43c0ec96a22ec1f392e0680e6c1226e6f3ba87e0740af850f	Exact crate/package file or exact upstream commit evidence
mime@0.3.17	LICENSE-APACHE	files/a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2-LICENSE-APACHE	a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2	Exact crate/package file or exact upstream commit evidence
mime@0.3.17	LICENSE-MIT	files/df9cfd06d8a44d9a671eadd39ffd97f166481da015a30f45dfd27886209c5922-LICENSE-MIT	df9cfd06d8a44d9a671eadd39ffd97f166481da015a30f45dfd27886209c5922	Exact crate/package file or exact upstream commit evidence
miniz_oxide@0.9.1	LICENSE	files/4108245a1f2df9d4e94df8abed5b4ba0759bb2f9b40a6b939f1be141077ae50b-LICENSE	4108245a1f2df9d4e94df8abed5b4ba0759bb2f9b40a6b939f1be141077ae50b	Exact crate/package file or exact upstream commit evidence
miniz_oxide@0.9.1	LICENSE-APACHE.md	files/0d542e0c8804e39aa7f37eb00da5a762149dc682d7829451287e11b938e94594-LICENSE-APACHE	0d542e0c8804e39aa7f37eb00da5a762149dc682d7829451287e11b938e94594	Exact crate/package file or exact upstream commit evidence
miniz_oxide@0.9.1	LICENSE-MIT.md	files/799e9ca9d179295ef372f25d3769cdda7d25bb2668add6a6a1e22d1e4c678b8d-LICENSE-MIT.md	799e9ca9d179295ef372f25d3769cdda7d25bb2668add6a6a1e22d1e4c678b8d	Exact crate/package file or exact upstream commit evidence
miniz_oxide@0.9.1	LICENSE-ZLIB.md	files/0a54e647fe54104658b5e563c04c6f9edf251710e47bce692e0bd990a4ddaa39-LICENSE-ZLIB.md	0a54e647fe54104658b5e563c04c6f9edf251710e47bce692e0bd990a4ddaa39	Exact crate/package file or exact upstream commit evidence
mio@1.2.3	LICENSE	files/07919255c7e04793d8ea760d6c2ce32d19f9ff02bdbdde3ce90b1e1880929a9b-LICENSE	07919255c7e04793d8ea760d6c2ce32d19f9ff02bdbdde3ce90b1e1880929a9b	Exact crate/package file or exact upstream commit evidence
muda@0.19.3	LICENSE-APACHE	files/a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2-LICENSE-APACHE	a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2	Exact crate/package file or exact upstream commit evidence
muda@0.19.3	LICENSE-MIT	files/2ab5537b8c0cb1d475e2145b6a7994b04e7c71e6e5bd836f7f9c47c221a5ad9a-LICENSE-MIT	2ab5537b8c0cb1d475e2145b6a7994b04e7c71e6e5bd836f7f9c47c221a5ad9a	Exact crate/package file or exact upstream commit evidence
